ID,k,Features,m,#Matches,Indices,max(dists),min(dists),med(dists),CE,Score Unified,Explained Var(%),P,p-value,Sig_Hochber
3,1,0,60,79,"[3044, 1973, 1433, 1749, 2449, 5504, 12978, 13262, 13723, 8228, 7989, 9590, 106, 13947, 9316, 8308, 8149, 7922, 12842, 13154, 13404, 14027, 1142, 1635, 1887, 8635, 8089, 12044, 9450, 10523, 12937, 10789, 9222, 902, 933, 964, 995, 1173, 1204, 1235, 1341, 1372, 1464, 1495, 1572, 1603, 1780, 1811, 1842, 2013, 2480, 2511, 2542, 3084, 5535, 6437, 12660, 12691, 12722, 12873, 13009, 13040, 13071, 13102, 13185, 13293, 13324, 13435, 13466, 13497, 13528, 13559, 13590, 13621, 13652, 13754, 13785, 13816, 13847, 13878]",7.746,0.0,7.746,0.26,0.148,47.22,0.005461287448015143,6.33900727218068e-91,True
4,1,0,60,21,"[11381, 1034, 11756, 11631, 11256, 11507, 6483, 3108, 5603, 1283, 2065, 2584, 8568, 9834, 12606, 12516, 9162, 1512, 7836, 10680, 12131, 10938]",6.772,0.158,4.083,0.126,0.216,10.92,0.0011796393618444614,7.197864766077402e-28,True
5,1,0,60,91,"[6531, 6979, 6755, 5355, 5131, 4907, 2104, 6055, 7427, 6307, 7679, 7203, 7483, 8869, 3646, 4431, 3175, 9065, 3898, 2923, 2328, 10283, 7735, 3422, 4683, 3842, 5831, 7259, 3343, 4150, 10227, 3590, 4374, 4094, 2160, 5270, 5970, 4598, 5046, 5718, 2636, 2867, 6222, 4822, 3786, 4318, 4542, 10339, 6670, 4038, 8925, 5411, 6166, 4207, 3231, 6894, 4766, 5914, 7118, 4990, 7035, 7342, 8980, 6811, 6614, 3534, 7594, 5214, 10144, 6111, 2243, 7539, 4262, 4487, 5662, 3702, 6363, 2748, 2810, 3478, 5774, 3955, 2384, 7790, 2691, 3287, 832, 585, 205, 704, 342, 466]",4.894,0.181,1.27,0.209,0.41,22.42,3.1543306240422603e-06,0.0,True
6,1,0,60,98,"[4649, 6273, 6721, 5097, 6945, 4873, 4425, 7197, 7421, 7645, 2126, 2945, 7477, 3169, 6525, 2322, 10249, 3892, 6049, 8863, 3640, 5349, 9059, 7729, 3836, 3416, 3584, 4144, 10305, 4368, 6777, 7001, 3337, 4088, 2378, 2889, 5964, 5040, 7253, 5825, 4592, 5264, 5712, 6188, 4816, 4312, 3780, 5153, 4201, 6664, 4536, 10193, 2630, 4032, 6888, 7112, 8919, 6329, 5908, 4760, 3225, 4984, 5405, 7336, 8974, 4929, 7588, 6132, 6608, 3528, 5208, 2237, 6832, 2182, 4256, 4705, 5656, 7056, 7533, 10138, 3696, 4481, 2804, 2742, 3949, 3472, 7784, 5768, 2685, 3280, 6384, 827, 699, 580, 200, 362, 485, 10361, 312]",5.085,0.229,1.221,0.208,0.417,24.15,3.0303154018237983e-06,0.0,True
7,1,0,60,90,"[2286, 7637, 3329, 9023, 6937, 3548, 6713, 2734, 5089, 2853, 6265, 4865, 4641, 5341, 4417, 6041, 3772, 10185, 5817, 3828, 7413, 10241, 7189, 4052, 5032, 4556, 5956, 4108, 4332, 3604, 5256, 2909, 6180, 3161, 5704, 3884, 4808, 7693, 2342, 6656, 2118, 7469, 3660, 8883, 4193, 6880, 10297, 9079, 7104, 7356, 6769, 6993, 4276, 7245, 4752, 8966, 6545, 5900, 4976, 5145, 7580, 6376, 4500, 2622, 3436, 6600, 2229, 6124, 5200, 7749, 5648, 6824, 6321, 7300, 5397, 3217, 7048, 4921, 2174, 4697, 10353, 7524, 2796, 3940, 3996, 5761, 3492, 2677, 3273, 3715, 10129]",3.426,0.254,1.847,0.208,0.386,22.9,1.597731231236018e-06,0.0,True
8,1,0,60,95,"[5869, 6345, 4945, 4245, 7773, 5645, 6821, 2198, 7045, 8935, 7297, 3460, 4721, 6569, 6093, 5421, 5169, 7521, 4469, 3241, 2646, 10154, 4021, 6625, 5225, 4525, 6149, 5001, 3684, 10321, 5925, 4777, 3769, 2142, 4301, 7577, 7241, 5701, 5365, 2366, 6989, 7101, 6765, 7353, 4665, 3517, 7717, 3353, 6877, 2850, 10210, 3185, 8879, 3908, 6289, 4889, 2731, 5113, 4077, 3573, 7465, 6205, 3298, 2933, 3825, 10265, 9075, 4581, 3628, 7410, 4357, 2311, 4132, 7662, 7185, 9020, 5813, 6037, 3965, 5981, 5281, 2254, 4189, 5057, 4413, 6681, 6934, 4833, 5757, 2793, 3405, 215, 12590, 714, 595, 816]",4.915,0.304,1.77,0.216,0.395,24.5,8.323385642095189e-06,0.0,True
9,1,0,60,9,"[11191, 11566, 11316, 11440, 11691, 119, 8802, 9803, 11925, 11803]",7.389,0.527,1.961,0.121,0.295,4.61,0.0004490411780362251,3.560781145797719e-14,True
10,1,0,60,27,"[11222, 11597, 11347, 11471, 11721, 1079, 8609, 11956, 9893, 8426, 876, 10405, 2982, 6411, 2414, 9132, 5473, 1316, 9737, 8385, 12576, 7812, 1547, 9659, 12367, 9788, 12325, 0]",6.683,0.551,4.144,0.114,0.214,12.23,0.0008216469209459535,2.5753758696571082e-42,True
11,1,0,60,88,"[7149, 7373, 3929, 4517, 4181, 3705, 7569, 6869, 4265, 6141, 7093, 7317, 6253, 5917, 4993, 6701, 4405, 4853, 4741, 5077, 4629, 2246, 8983, 5245, 6365, 5693, 6617, 3789, 6925, 4041, 4797, 4321, 2813, 2870, 6197, 4573, 7625, 10202, 5189, 5973, 3565, 2190, 6813, 7037, 9040, 4097, 5861, 3346, 5805, 3261, 3621, 3845, 5413, 2303, 2722, 10258, 8927, 3480, 4937, 7430, 2926, 7206, 3150, 7765, 7682, 8872, 6085, 2638, 2107, 2359, 3425, 10341, 6029, 3984, 7486, 6758, 6982, 6561, 10146, 3206, 5329, 7261, 6310, 5134, 4461, 4686, 5749, 5637, 371]",5.152,0.567,2.101,0.214,0.375,21.7,3.1784344810223722e-06,0.0,True
12,1,0,60,109,"[413, 779, 10114, 152, 289, 8839, 532, 651, 9480, 5325, 5801, 6025, 4401, 4177, 2781, 6697, 7788, 4877, 6249, 829, 2354, 4625, 6305, 4681, 5073, 3925, 6921, 2158, 3313, 12513, 5129, 6753, 7705, 10281, 7621, 6977, 6529, 3420, 2949, 2270, 9035, 7425, 3145, 7369, 6081, 7229, 4457, 2718, 7145, 4092, 2102, 3532, 3644, 5940, 7481, 2837, 3201, 2634, 8895, 3812, 10169, 4820, 3868, 4316, 3588, 5268, 5381, 2893, 6388, 5716, 6192, 7033, 6136, 4568, 340, 5857, 5016, 10225, 3701, 4933, 4512, 7312, 10573, 8950, 4036, 10337, 6864, 4764, 6809, 3756, 4233, 5436, 3981, 7088, 6640, 582, 10813, 5660, 6584, 5185, 7537, 12064, 3477, 2213, 3256, 701, 9831, 202, 3367, 462]",6.209,0.748,5.551,0.149,0.224,26.01,0.00046546894298684917,9.591902254744291e-258,True
